timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
377152,-0.0831,1.1437,1.0872,-1.8684,-2.6154,5.4082,left_tilt
377204,-0.0840,1.1377,1.0883,-2.4482,-1.3040,5.0553,left_tilt
377256,-0.0738,1.1339,1.0920,-2.1824,-1.3084,4.1607,left_tilt
377308,-0.0644,1.1323,1.0916,-2.0292,-0.7165,3.5337,left_tilt
377360,-0.0646,1.1274,1.0943,-1.8013,0.2425,2.9099,left_tilt
377412,-0.0503,1.1206,1.0936,-1.7182,-0.0467,2.6795,left_tilt
377464,-0.0537,1.1194,1.0932,-1.8411,-0.1132,2.5869,left_tilt
377516,-0.0635,1.1174,1.0947,-1.0676,-0.3420,2.0929,left_tilt
377568,-0.0974,1.1167,1.0924,-0.6641,-0.2457,1.1160,left_tilt
377620,-0.1073,1.1134,1.0951,0.2831,-0.8373,0.2216,left_tilt
377672,-0.1144,1.1189,1.0948,0.3524,-0.9579,1.0495,left_tilt
377724,-0.1370,1.1197,1.0931,0.4597,-1.9643,0.8172,left_tilt
377776,-0.1426,1.1212,1.0948,0.1699,-2.1512,0.5947,left_tilt
377828,-0.1337,1.1230,1.0973,0.0527,-1.9999,0.0122,left_tilt
377880,-0.1285,1.1237,1.0893,-0.6045,-1.6284,-1.1638,left_tilt
377932,-0.1126,1.1212,1.0880,-2.0570,-1.4214,-2.2145,left_tilt
377984,-0.1244,1.1215,1.0878,-2.4587,-1.4679,-3.4123,left_tilt
378036,-0.1382,1.1195,1.0858,-2.7205,-1.7449,-3.7126,left_tilt
378088,-0.1180,1.1108,1.0884,-2.4994,-1.7954,-2.9482,left_tilt
378140,-0.1187,1.1121,1.0870,-1.9973,-1.5382,-2.1764,left_tilt
378192,-0.1258,1.1115,1.0922,-1.9452,-1.2148,-2.3772,left_tilt
378244,-0.1204,1.1114,1.0929,-2.3799,-1.2477,-2.4784,left_tilt
378296,-0.0941,1.1107,1.0927,-3.2071,-1.1259,-2.9257,left_tilt
378348,-0.0877,1.1048,1.0976,-4.8200,-1.0530,-3.9401,left_tilt
378400,-0.0878,1.0998,1.0898,-4.8889,-0.7747,-3.5134,left_tilt
378452,-0.0982,1.0921,1.0861,-4.7975,-0.2941,-3.1354,left_tilt
378504,-0.0747,1.0838,1.0785,-4.0403,-0.4974,-2.4407,left_tilt
378556,-0.0493,1.0769,1.0810,-3.0469,-0.3975,-2.1841,left_tilt
378608,-0.0686,1.0774,1.0855,-2.1880,-0.2992,-1.6964,left_tilt
378660,-0.0868,1.0731,1.0841,-1.6703,-0.2648,-0.5108,left_tilt
378712,-0.0868,1.0746,1.0808,-1.1737,-0.0938,-0.0387,left_tilt
378764,-0.1032,1.0766,1.0854,-0.7750,-0.2761,-0.0137,left_tilt
378816,-0.1109,1.0756,1.0867,-0.4468,-0.3319,-0.1371,left_tilt
378868,-0.1063,1.0754,1.0887,-0.2392,-0.4513,-0.2451,left_tilt
378920,-0.1007,1.0751,1.0862,-0.0151,-0.6583,-0.8780,left_tilt
378972,-0.1301,1.0741,1.0809,0.1596,-0.4529,0.0202,left_tilt
379024,-0.1316,1.0751,1.0736,0.3589,-0.4397,-0.2017,left_tilt
379076,-0.1295,1.0771,1.0727,0.3382,-0.4994,-0.3654,left_tilt
379128,-0.1286,1.0791,1.0730,0.3094,-0.3471,-0.6430,left_tilt
379180,-0.1100,1.0835,1.0782,0.2421,-0.2223,-0.9444,left_tilt
379232,-0.0891,1.0836,1.0786,0.2111,-0.0567,-0.6207,left_tilt
379284,-0.0721,1.0844,1.0845,0.1711,0.1688,-0.2686,left_tilt
379336,-0.0564,1.0854,1.0848,0.2185,0.1920,-0.4968,left_tilt
379388,-0.0681,1.0841,1.0879,0.2014,0.2289,-0.4321,left_tilt
379440,-0.0636,1.0860,1.0882,0.0351,0.2798,-0.4093,left_tilt
379492,-0.0645,1.0840,1.0890,-0.2110,0.2304,-0.1575,left_tilt
379544,-0.0769,1.0838,1.0886,-0.1498,0.1008,-0.1911,left_tilt
379596,-0.0843,1.0839,1.0902,-0.1848,-0.0761,-0.4745,left_tilt
379648,-0.0852,1.0839,1.0951,-0.6204,-0.1001,-0.8875,left_tilt
379700,-0.1111,1.0823,1.0942,-1.8483,-0.2384,-0.8958,left_tilt
379752,-0.0945,1.0778,1.0942,-2.8032,-0.0574,-1.3955,left_tilt
379804,-0.0689,1.0747,1.0944,-3.5579,-0.0852,-1.8090,left_tilt
379856,-0.0548,1.0682,1.0930,-4.3586,0.0071,-2.0574,left_tilt
379908,-0.0718,1.0655,1.0985,-4.8740,0.0291,-2.0897,left_tilt
379960,-0.0839,1.0599,1.0992,-5.6588,0.1138,-2.4530,left_tilt
380012,-0.0706,1.0554,1.0949,-6.3508,0.3037,-2.3344,left_tilt
380064,-0.0743,1.0473,1.0975,-6.8632,0.3289,-2.0288,left_tilt
380116,-0.1100,1.0409,1.0986,-8.1815,0.3094,-2.2592,left_tilt
380168,-0.1308,1.0319,1.0940,-8.9583,0.0556,-2.3901,left_tilt
380220,-0.1144,1.0267,1.0864,-10.8804,0.2770,-3.2581,left_tilt
380272,-0.1088,1.0179,1.0873,-12.8334,0.7213,-2.8915,left_tilt
380324,-0.0926,1.0048,1.0850,-14.3424,0.9775,-2.5493,left_tilt
380376,-0.0935,0.9894,1.0844,-15.2824,0.5718,-2.6634,left_tilt
380428,-0.1027,0.9725,1.0824,-16.5688,0.3007,-1.9882,left_tilt
380480,-0.1169,0.9545,1.0826,-16.9826,0.3815,-2.2893,left_tilt
380532,-0.1079,0.9417,1.0830,-17.4419,0.3041,-2.2325,left_tilt
380584,-0.1179,0.9271,1.0859,-18.6887,0.4850,-1.7015,left_tilt
380636,-0.1289,0.9048,1.0885,-19.8190,0.6877,-0.9821,left_tilt
380688,-0.1202,0.8819,1.0881,-19.6148,0.6239,-1.7623,left_tilt
380740,-0.1166,0.8590,1.0905,-19.1874,0.5149,-1.5788,left_tilt
380792,-0.1033,0.8374,1.0892,-18.4714,0.7940,-1.4549,left_tilt
380844,-0.1102,0.8194,1.0867,-16.5902,0.5838,-1.3588,left_tilt
380896,-0.1198,0.8101,1.0880,-14.5768,0.5942,-1.7110,left_tilt
380948,-0.1102,0.7989,1.0869,-13.5737,0.8163,-1.1836,left_tilt
381000,-0.1341,0.7898,1.0873,-12.8980,0.8184,-1.5265,left_tilt
381052,-0.1241,0.7809,1.0860,-13.8643,1.1239,-2.0207,left_tilt
381104,-0.1198,0.7701,1.0815,-14.3961,1.3652,-2.2451,left_tilt
381156,-0.1136,0.7598,1.0809,-16.2780,1.1812,-2.2001,left_tilt
381208,-0.0983,0.7413,1.0732,-17.0996,0.9683,-0.8085,left_tilt
381260,-0.0764,0.7235,1.0714,-17.1141,1.0011,-1.3150,left_tilt
381312,-0.0528,0.7067,1.0717,-17.3990,1.2822,-1.5507,left_tilt
381364,-0.0616,0.6872,1.0737,-16.2834,1.1194,-0.8004,left_tilt
381416,-0.0740,0.6783,1.0667,-16.6612,1.3433,-1.0978,left_tilt
381468,-0.0455,0.6663,1.0654,-17.5726,1.8553,-0.1343,left_tilt
381520,-0.0515,0.6515,1.0655,-17.5062,1.7122,-0.6825,left_tilt
381572,-0.0818,0.6399,1.0643,-18.5448,1.8710,-1.2798,left_tilt
381624,-0.1072,0.6222,1.0669,-20.2107,2.5751,-1.3669,left_tilt
381676,-0.1258,0.6153,1.0683,-21.9771,2.7705,-3.8686,left_tilt
381728,-0.1513,0.5757,1.0717,-25.3046,4.5741,-2.5844,left_tilt
381780,-0.1485,0.5624,1.0637,-27.0430,4.8521,-4.2564,left_tilt
381832,-0.1467,0.5305,1.0611,-25.8414,4.9417,-3.0046,left_tilt
381884,-0.1464,0.5074,1.0567,-25.3579,4.6225,-2.7849,left_tilt
381936,-0.1611,0.4836,1.0584,-23.4735,3.6985,-2.9938,left_tilt
381988,-0.1749,0.4715,1.0603,-21.3750,3.4890,-2.4526,left_tilt
382040,-0.1805,0.4589,1.0570,-19.5696,2.8176,-3.0501,left_tilt
382092,-0.1859,0.4452,1.0564,-18.0031,2.4744,-3.1587,left_tilt
382144,-0.1851,0.4345,1.0601,-16.9514,2.2854,-3.3814,left_tilt
382196,-0.1647,0.4241,1.0541,-16.9803,1.7417,-3.5962,left_tilt
382248,-0.1516,0.4084,1.0500,-17.4217,1.8427,-3.7208,left_tilt
382300,-0.1082,0.3961,1.0512,-18.3474,1.8517,-4.6524,left_tilt
382352,-0.0938,0.3763,1.0515,-17.8116,1.8941,-3.7550,left_tilt
382404,-0.0809,0.3600,1.0490,-16.8669,2.3692,-2.3394,left_tilt
382456,-0.0586,0.3483,1.0475,-16.1417,2.5217,-0.9916,left_tilt
382508,-0.0607,0.3370,1.0421,-14.9554,2.3766,-0.4951,left_tilt
382560,-0.0533,0.3239,1.0371,-13.8293,2.3522,-0.0215,left_tilt
382612,-0.0327,0.3220,1.0385,-13.0032,1.9249,-0.6946,left_tilt
382664,-0.0371,0.3124,1.0370,-12.4767,1.3878,-1.1872,left_tilt
382716,-0.0675,0.3030,1.0351,-11.7685,1.2175,-1.2516,left_tilt
382768,-0.0745,0.3005,1.0319,-10.6737,0.8371,-1.0878,left_tilt
382820,-0.0991,0.2960,1.0321,-10.0879,0.7999,-1.3308,left_tilt
382872,-0.1037,0.2850,1.0324,-9.7002,0.9549,-0.6855,left_tilt
382924,-0.1110,0.2862,1.0328,-10.5686,0.8667,-1.2090,left_tilt
382976,-0.1071,0.2723,1.0289,-10.0451,1.0923,-0.1759,left_tilt
383028,-0.0977,0.2694,1.0331,-9.6613,1.4865,0.5056,left_tilt
383080,-0.1193,0.2535,1.0398,-9.4353,0.2996,0.2294,left_tilt
383132,-0.1417,0.2420,1.0407,-9.6910,0.7379,2.0420,left_tilt
383184,-0.1268,0.2430,1.0437,-8.9735,1.1053,2.5868,left_tilt
383236,-0.1296,0.2397,1.0458,-7.8652,0.9824,3.0058,left_tilt
383288,-0.1267,0.2327,1.0460,-6.8228,1.2474,2.9166,left_tilt
383340,-0.1150,0.2317,1.0427,-6.0239,1.3541,2.7826,left_tilt
383392,-0.1232,0.2309,1.0434,-5.3803,1.6334,2.6846,left_tilt
383444,-0.1483,0.2323,1.0417,-4.7662,1.6232,2.6856,left_tilt
383496,-0.1681,0.2314,1.0398,-4.4718,1.8029,2.4192,left_tilt
383548,-0.1649,0.2279,1.0408,-3.6363,1.4397,1.6137,left_tilt
383600,-0.1438,0.2253,1.0488,-2.3847,0.9354,1.8655,left_tilt
383652,-0.1525,0.2221,1.0496,-2.7743,1.2190,2.7265,left_tilt
383704,-0.1157,0.2261,1.0465,-2.2096,0.8475,1.6672,left_tilt
383756,-0.1031,0.2276,1.0470,-1.9426,0.6097,1.3129,left_tilt
383808,-0.0870,0.2261,1.0520,-1.6572,0.5936,1.1775,left_tilt
383860,-0.1091,0.2221,1.0450,-1.4732,1.1288,2.3105,left_tilt
383912,-0.1130,0.2235,1.0422,-1.7718,1.0546,2.2122,left_tilt
383964,-0.0861,0.2265,1.0438,-1.8289,1.3602,2.2329,left_tilt
384016,-0.0765,0.2279,1.0430,-1.6793,1.1757,1.6082,left_tilt
384068,-0.0782,0.2268,1.0461,-1.8679,1.3334,2.3420,left_tilt
384120,-0.0691,0.2277,1.0458,-2.2296,1.6901,2.4878,left_tilt
384172,-0.1040,0.2285,1.0512,-2.8196,1.8548,1.9908,left_tilt
384224,-0.1241,0.2215,1.0493,-3.5069,2.1286,1.9962,left_tilt
384276,-0.1355,0.2185,1.0504,-4.3713,2.2331,1.6768,left_tilt
384328,-0.1470,0.2286,1.0513,-6.0643,2.8908,0.2763,left_tilt
384380,-0.1579,0.2174,1.0434,-6.7622,3.8032,0.2933,left_tilt
384432,-0.1484,0.2116,1.0406,-7.8396,4.4980,1.4504,left_tilt
384484,-0.1294,0.2073,1.0443,-5.6588,4.5255,4.2601,left_tilt
384536,-0.1353,0.1879,1.0354,-5.8684,5.3003,6.3933,left_tilt
384588,-0.1291,0.1919,1.0357,-5.6146,5.0880,6.5029,left_tilt
384640,-0.1346,0.1918,1.0407,-4.1719,4.1579,5.7708,left_tilt
384692,-0.1270,0.1899,1.0275,-3.2224,3.3390,4.8018,left_tilt
384744,-0.1137,0.1860,1.0289,-2.1085,2.3801,3.9473,left_tilt
384796,-0.0939,0.1888,1.0241,-2.1747,2.1885,3.6164,left_tilt
384848,-0.0950,0.1932,1.0239,-1.8566,1.5879,2.7608,left_tilt
384900,-0.1117,0.1950,1.0302,-1.3426,1.4647,2.4061,left_tilt
384952,-0.1229,0.1979,1.0285,-0.3773,0.7921,1.8093,left_tilt
385004,-0.1347,0.1964,1.0232,-0.8614,1.3959,2.3762,left_tilt
385056,-0.1065,0.1925,1.0216,-1.1022,1.6241,3.2923,left_tilt
385108,-0.0831,0.1921,1.0249,-1.0643,1.7654,3.0985,left_tilt
385160,-0.1054,0.1921,1.0280,-0.5470,1.0143,2.5037,left_tilt
385212,-0.0939,0.1943,1.0220,-0.4766,1.1188,2.1607,left_tilt
385264,-0.0819,0.1963,1.0219,-0.5669,1.2802,2.1092,left_tilt
385316,-0.0662,0.1970,1.0281,-0.5368,1.4674,2.4665,left_tilt
385368,-0.0424,0.1889,1.0245,-0.7723,1.2629,2.9737,left_tilt
385420,-0.0662,0.1889,1.0251,-0.9790,1.1955,2.4420,left_tilt
385472,-0.0546,0.1910,1.0253,-0.9886,0.9630,2.2091,left_tilt
385524,-0.0593,0.1934,1.0258,-0.6772,0.7663,1.9556,left_tilt
385576,-0.0621,0.1959,1.0303,-0.4113,0.5769,2.0306,left_tilt
385628,-0.0652,0.1939,1.0359,-0.6750,0.5093,2.2647,left_tilt
385680,-0.0719,0.1945,1.0324,-0.5057,0.1255,1.4443,left_tilt
385732,-0.0779,0.1874,1.0344,-0.1428,-0.0289,1.1071,left_tilt
385784,-0.0939,0.1894,1.0373,-0.4525,0.2659,0.5518,left_tilt
385836,-0.0779,0.1916,1.0364,-0.1339,0.2910,0.8297,left_tilt
385888,-0.0936,0.1923,1.0374,0.0203,0.2180,0.4933,left_tilt
385940,-0.0921,0.1924,1.0363,0.2246,-0.5366,-0.2949,left_tilt
385992,-0.1098,0.1905,1.0408,0.2673,-0.4349,-0.5210,left_tilt
386044,-0.0955,0.1913,1.0474,0.2359,-0.2711,-1.0041,left_tilt
386096,-0.1214,0.1956,1.0482,-0.0014,-0.3584,-0.4806,left_tilt
386148,-0.1180,0.1960,1.0530,-0.0905,-0.0954,-0.5596,left_tilt
386200,-0.1320,0.2004,1.0382,0.1572,-0.2927,-0.6349,left_tilt
386252,-0.1729,0.2028,1.0461,0.1433,-0.1161,-0.2021,left_tilt
386304,-0.1604,0.2008,1.0428,-0.1366,0.0435,0.5900,left_tilt
386356,-0.1389,0.2013,1.0408,-0.0842,0.0871,0.8236,left_tilt
386408,-0.1273,0.1986,1.0397,-0.0713,0.1969,1.1815,left_tilt
386460,-0.1180,0.1966,1.0388,0.2185,-0.1871,0.7869,left_tilt
386512,-0.1267,0.2024,1.0395,0.3602,-0.4392,-0.2066,left_tilt
386564,-0.1466,0.2046,1.0441,0.2583,-0.7021,-0.9312,left_tilt
386616,-0.1581,0.2055,1.0520,0.1920,-0.4177,-0.8315,left_tilt
386668,-0.1767,0.2034,1.0545,-0.2549,0.3824,0.3826,left_tilt
386720,-0.1900,0.2042,1.0619,-0.3544,0.7369,0.9097,left_tilt
386772,-0.1776,0.2034,1.0626,-0.5805,0.7610,1.0244,left_tilt
386824,-0.1754,0.1990,1.0537,-0.3553,0.3833,0.8231,left_tilt
386876,-0.1666,0.1963,1.0501,-0.0210,0.0292,0.7399,left_tilt
386928,-0.1621,0.1963,1.0508,-0.2665,0.4101,0.9664,left_tilt
386980,-0.1513,0.1944,1.0463,0.1279,0.1148,0.2042,left_tilt
387032,-0.1587,0.1954,1.0423,0.0267,-0.0680,-0.2316,left_tilt
387084,-0.1729,0.1975,1.0512,-0.0207,-0.3593,-0.7084,left_tilt
387136,-0.1484,0.1984,1.0545,-0.0098,-0.2549,-0.7540,left_tilt
387188,-0.1469,0.1979,1.0543,-0.4285,0.3721,0.3530,left_tilt
387240,-0.1611,0.1965,1.0580,-0.6994,0.8341,1.4325,left_tilt
387292,-0.1594,0.1946,1.0563,-0.9360,1.1685,2.2335,left_tilt
387344,-0.1256,0.1937,1.0619,-0.9466,1.2146,2.1522,left_tilt
387396,-0.1087,0.1947,1.0652,-1.0726,1.2119,2.4795,left_tilt
387448,-0.1094,0.1917,1.0711,-1.2360,1.2585,2.5414,left_tilt
387500,-0.0918,0.1909,1.0621,-0.6889,0.7691,2.0214,left_tilt
387552,-0.1266,0.1927,1.0610,-0.3382,0.1700,1.6665,left_tilt
387604,-0.1273,0.1949,1.0628,-0.6134,0.4051,1.7352,left_tilt
387656,-0.1188,0.1928,1.0623,-0.4305,0.0131,1.1917,left_tilt
387708,-0.1235,0.1922,1.0585,-0.4934,-0.2226,0.9447,left_tilt
387760,-0.1242,0.1928,1.0543,-0.2108,-0.6570,-0.0529,left_tilt
387812,-0.1308,0.1966,1.0613,0.1542,-0.9435,-0.9212,left_tilt
387864,-0.1351,0.2003,1.0612,-0.0546,-0.7222,-0.3273,left_tilt
387916,-0.1281,0.1937,1.0610,0.0150,-0.4247,0.3005,left_tilt
387968,-0.1166,0.1921,1.0617,-0.0667,-0.6110,0.6302,left_tilt
388020,-0.1175,0.1920,1.0503,0.2328,-0.7051,0.0665,left_tilt
388072,-0.1290,0.1939,1.0486,0.3976,-0.8247,-0.3097,left_tilt
388124,-0.1179,0.1885,1.0486,0.4027,-0.5051,0.0718,left_tilt
388176,-0.1430,0.1836,1.0520,0.8633,-0.7822,-0.4016,left_tilt
388228,-0.1475,0.1878,1.0482,0.8898,-1.0421,-0.4200,left_tilt
388280,-0.1638,0.1901,1.0565,0.6850,-0.8882,-0.6836,left_tilt
388332,-0.1490,0.1934,1.0533,0.3426,-0.9208,-0.7204,left_tilt
388384,-0.1341,0.1950,1.0502,-0.0398,-0.3300,-0.4430,left_tilt
388436,-0.1380,0.1975,1.0513,-0.0724,-0.0620,-0.2272,left_tilt
388488,-0.1485,0.1971,1.0521,-0.0175,-0.2797,-0.3095,left_tilt
388540,-0.1490,0.1995,1.0505,0.0340,0.3065,0.0781,left_tilt
388592,-0.1520,0.1975,1.0491,0.2050,0.1067,0.5897,left_tilt
388644,-0.1409,0.1947,1.0493,0.2395,-0.1462,-0.0194,left_tilt
388696,-0.1450,0.1968,1.0507,0.1113,0.2026,-0.0104,left_tilt
388748,-0.1632,0.1982,1.0525,0.1554,0.2022,-0.4200,left_tilt
388800,-0.1712,0.1945,1.0500,0.2074,0.0309,-0.3050,left_tilt
388852,-0.1783,0.1986,1.0538,0.1895,-0.0816,-0.7473,left_tilt
388904,-0.1633,0.2013,1.0473,0.0439,0.3626,0.3004,left_tilt
388956,-0.1567,0.1973,1.0484,-0.2680,0.4417,1.3141,left_tilt
389008,-0.1872,0.1967,1.0528,-0.2504,0.5584,1.1525,left_tilt
389060,-0.2102,0.1929,1.0564,-0.2225,0.6121,1.6126,left_tilt
389112,-0.2166,0.1944,1.0584,-0.3316,0.2932,0.9608,left_tilt
389164,-0.2252,0.1979,1.0568,-0.4829,0.4472,1.1859,left_tilt
389216,-0.2238,0.1966,1.0489,-0.8116,0.9430,2.0195,left_tilt
389268,-0.2227,0.1964,1.0543,-0.8288,0.6907,1.9916,left_tilt
389320,-0.2452,0.1945,1.0529,-0.6074,0.6553,1.6014,left_tilt
389372,-0.2343,0.1951,1.0551,-0.4593,0.6469,1.3565,left_tilt
389424,-0.2271,0.1974,1.0552,-0.6629,0.2768,1.2735,left_tilt
389476,-0.2181,0.1987,1.0573,-0.6426,0.2127,1.4559,left_tilt
389528,-0.2521,0.2002,1.0594,-0.3211,-0.0813,0.8385,left_tilt
389580,-0.2447,0.2021,1.0563,-0.5753,0.2927,1.2484,left_tilt
389632,-0.2312,0.2000,1.0591,-0.7801,0.4881,1.8740,left_tilt
389684,-0.2112,0.1987,1.0591,-0.8051,0.5604,2.0341,left_tilt
389736,-0.2114,0.1929,1.0584,-0.5839,0.2228,1.3713,left_tilt
389788,-0.2013,0.1946,1.0527,-0.5000,0.2199,1.1265,left_tilt
389840,-0.1868,0.1941,1.0528,-0.7032,0.5657,1.7887,left_tilt
389892,-0.1622,0.1935,1.0518,-0.4870,0.4225,1.1903,left_tilt
389944,-0.1771,0.1942,1.0576,-0.4500,0.1812,0.6901,left_tilt
389996,-0.2022,0.1967,1.0562,-0.3746,-0.0454,-0.3711,left_tilt
390048,-0.2069,0.1999,1.0634,-0.0975,-0.3397,-0.4093,left_tilt
390100,-0.2064,0.1988,1.0648,-0.1475,-0.3064,-0.7331,left_tilt
